42.50	117	158
42.50	120	157
42.50	120	152
42.50	128	144
42.34	128	142
42.50	120	152
42.50	124	153
42.50	125	152
42.50	120	154
42.46	118	150
42.52	116	147
42.50	120	143
42.46	117	144
42.50	124	144
42.52	115	146
42.50	116	148
42.46	116	156

Data Set #25
47.32	99	139
47.36	112	131
47.50	107	134
47.48	106	133
47.50	110	138
47.50	105	136
47.54	96	135
47.18	98	136
47.26	104	129
47.50	104	133
47.50	104	129
47.50	104	128
47.50	104	128
47.50	97	138
47.38	96	139
47.50	93	138
47.38	94	144
47.48	96	144
47.36	93	139
47.20	104	143

Data Set #26
47.30	98	129
47.50	112	138
47.50	102	138
47.36	104	144
47.38	106	144
47.20	103	144
47.32	92	144
47.36	107	134
47.42	111	133
47.50	112	131
47.50	112	139
47.50	112	138
47.26	108	135
47.38	106	133
47.38	110	138
47.38	109	137
47.38	108	133
47.50	104	133
47.54	103	130
47.48	104	129

Data Set #27
46.88	114	132
47.50	112	135
47.36	112	133
47.26	112	138
47.36	108	133
47.36	105	133
47.20	112	134
47.32	112	140
47.38	109	128
47.24	102	131
47.32	102	136
47.36	108	134
47.38	109	132
47.42	104	128
47.36	102	134
47.36	113	129
47.36	107	128
47.30	95	139
47.50	100	147
47.50	97	148

Data Set #28
51.92	99	128
52.30	98	126
52.22	101	126
52.22	105	120
52.22	101	120
52.34	103	128
52.34	114	128
52.34	112	132
52.36	103	126
52.22	92	126
52.18	84	127
52.22	89	120
52.22	96	120
52.22	92	128
52.34	90	126
52.22	80	133
52.22	80	128
52.24	84	129
52.36	84	132
52.36	84	126

Data Set #29
52.06	105	129
52.30	98	135
52.18	100	126
52.34	105	129
52.24	99	129
52.22	108	126
52.40	110	131
52.34	102	129
52.34	112	118
52.22	109	129
52.22	104	128
52.30	104	120
52.22	109	128
52.18	104	126
52.18	95	126
52.30	96	129
52.22	88	124
52.36	104	120
52.22	95	128
52.34	94	130

Data Set #30
51.98	108	126
52.34	108	126
52.36	96	124
52.22	100	130
52.22	97	126
52.22	96	128
52.36	96	121
52.22	96	126
52.22	98	126
52.34	94	126
52.18	92	134
52.24	78	136
52.34	80	139
52.30	80	128
52.24	88	128
52.30	98	124
52.28	104	122
52.22	93	122
52.22	88	116
52.18	88	126

Data Set #31
57.10	84	116
57.38	80	117
